unit_id,housing_type,bedrooms,bathrooms,full_bathrooms,half_bathrooms,maximum_occupants,square_footage,minimum_stay_duration,has_rest_days,is_in_hoa,is_sub_unit,city_name,county,zip5,state_name_short,unit_latitude,unit_longitude
31019,house,4,2,2,0,9,2610,2,false,false,false,Trinidad,Humboldt,95570,CA,41.036856,-124.116683
31076,condo,3,3,3,0,10,1697,2,false,false,false,Ocean City,Worcester,21842,MD,38.371544,-75.069953
31240,house,2,2,2,0,5,1392,2,false,false,false,Ketchum,Blaine,83340,ID,43.673858,-114.360223
31327,house,12,12,11,1,30,5200,3,false,false,false,Davenport,Polk,33837,FL,28.230883,-81.602990
31380,house,5,6,5,1,12,3050,3,false,false,false,Kissimmee,Osceola,34747,FL,28.264294,-81.581342
31443,house,4,4,4,0,10,2148,2,false,false,false,Dauphin Island,Mobile,36528,AL,30.250708,-88.170493
31517,house,4,3,3,0,14,2718,2,false,false,false,Dauphin Island,Mobile,36528,AL,30.249660,-88.174757
31563,condo,2,2,2,0,8,1393,2,false,true,false,Keystone,Summit,80435,CO,39.606876,-105.964973
31597,townhouse,2,3,2,1,6,1274,1,false,false,false,Moab,Grand,84532,UT,38.513972,-109.487390
31624,duplex,0,1,1,0,4,368,7,false,false,true,Conch Key,Monroe,33050,FL,24.790342,-80.889585
31731,condo,3,4,3,1,8,2058,2,false,false,false,Hilton Head,Beaufort,29928,SC,32.155082,-80.754381
31793,house,4,5,4,1,15,2059,2,false,false,false,Hilton Head,Beaufort,29928,SC,32.134173,-80.812435
31811,condo,3,4,3,1,8,1600,2,false,false,false,Hilton Head,Beaufort,29928,SC,32.131088,-80.794720
32064,condo,2,2,2,0,6,1173,1,false,false,false,Panama City Beach,Bay,32413,FL,30.230859,-85.908037
32136,suite,2,2,2,0,6,1345,3,false,false,false,Panama City Beach,Bay,32413,FL,30.225081,-85.895803
32233,suite,1,2,2,0,6,883,1,false,false,false,Panama City Beach,Bay,32408,FL,30.140625,-85.754031
32261,condo,2,2,2,0,8,1593,1,false,false,false,Panama City Beach,Bay,32413,FL,30.220974,-85.887242
32559,condo,2,2,2,0,9,1394,3,false,true,false,Santa Rosa Beach,Walton,32459,FL,30.306329,-86.088433
32646,studio,0,1,1,0,2,318,1,false,false,false,Seacrest,Walton,32461,FL,30.281711,-86.019544
32665,condo,3,3,3,0,8,2196,3,false,false,false,Santa Rosa Beach,Walton,32459,FL,30.310952,-86.101491
32759,condo,2,3,2,1,8,1850,3,false,false,false,Santa Rosa Beach,Walton,32459,FL,30.341413,-86.200045
32838,condo,2,3,2,1,4,1408,2,false,false,false,Coeur d'Alene,Kootenai,83814,ID,47.695514,-116.808551
32877,studio,0,1,1,0,4,466,2,false,false,false,Seattle,King,98121,WA,47.614937,-122.347611
32969,house,5,3,3,0,10,2036,2,false,false,false,Folly Beach,Charleston,29439,SC,32.663597,-79.920050
33026,house,2,1,1,0,6,620,2,false,false,false,Folly Beach,Charleston,29439,SC,32.660144,-79.930223
33074,house,3,3,2,1,8,1750,2,false,false,false,Isle of Palms,Charleston,29451,SC,32.787661,-79.785477
33119,villa,2,2,2,0,6,960,2,false,false,false,Isle of Palms,Charleston,29451,SC,32.786985,-79.787076
33217,villa,1,1,1,0,4,600,3,false,false,false,Kiawah Island,Charleston,29455,SC,32.598488,-80.103335
33302,villa,2,2,2,0,5,1297,2,false,false,false,Seabrook Island,Charleston,29455,SC,32.564063,-80.178553
33787,house,3,4,4,0,16,2135,2,false,false,false,Crystal Beach,Galveston,77617,TX,29.514991,-94.481501
33859,house,4,4,3,1,8,2392,7,false,false,false,Fernandina Beach,Nassau,32034,FL,30.568129,-81.447501
33921,cabin,4,4,3,1,14,2520,2,false,false,false,Blue Ridge,Fannin,30513,GA,34.824121,-84.278224
33976,cabin,4,3,2,1,7,2772,2,false,false,false,Cherry Log,Fannin,30522,GA,34.782987,-84.293836
34030,cabin,3,4,3,1,8,2520,2,false,false,false,Morganton,Fannin,30560,GA,34.904506,-84.199219
34123,condo,2,2,2,0,9,1020,2,false,false,false,South Padre Island,Cameron,78597,TX,26.108500,-97.167944
34596,condo,3,2,2,0,6,1739,3,false,true,false,Davenport,Polk,33897,FL,28.322653,-81.660626
34732,condo,2,2,2,0,6,1116,3,false,true,false,Davenport,Polk,33897,FL,28.326012,-81.658679
34733,condo,3,2,2,0,8,1739,3,false,true,false,Davenport,Polk,33897,FL,28.325982,-81.658671
34994,condo,3,2,2,0,8,1614,3,false,true,false,Kissimmee,Osceola,34747,FL,28.337826,-81.650982
35017,condo,3,2,2,0,8,1614,3,false,true,false,Kissimmee,Osceola,34747,FL,28.337451,-81.651901
35054,condo,2,2,2,0,4,1207,3,false,false,false,Miramar Beach,Walton,32550,FL,30.369014,-86.324941
35084,condo,2,2,2,0,6,1141,2,false,true,false,Miramar Beach,Walton,32550,FL,30.371097,-86.324435
35111,suite,2,2,2,0,6,1141,1,false,true,false,Miramar Beach,Walton,32550,FL,30.371097,-86.324435
35129,condo,2,2,2,0,6,1141,1,false,true,false,Miramar Beach,Walton,32550,FL,30.371097,-86.324435
35169,condo,2,2,2,0,6,1525,1,false,true,false,Miramar Beach,Walton,32550,FL,30.376538,-86.326681
35481,condo,2,2,2,0,7,1034,1,false,true,false,Miramar Beach,Walton,32550,FL,30.374662,-86.359684
35517,condo,2,2,2,0,7,1034,3,false,true,false,Miramar Beach,Walton,32550,FL,30.374662,-86.359684
35635,condo,3,3,3,0,8,1700,4,false,true,false,Destin,Okaloosa,32541,FL,30.384925,-86.467517
35681,condo,2,2,2,0,8,1065,3,false,true,false,Miramar Beach,Walton,32550,FL,30.373836,-86.355299
35834,condo,1,2,2,0,6,861,1,false,false,false,Destin,Okaloosa,32541,FL,30.385720,-86.474637
35837,condo,1,2,2,0,6,861,1,false,false,false,Destin,Okaloosa,32541,FL,30.385720,-86.474637
36005,condo,1,2,1,1,4,716,1,false,false,false,Destin,Okaloosa,32541,FL,30.384665,-86.468415
36025,condo,1,1,1,0,4,766,1,false,false,false,Destin,Okaloosa,32541,FL,30.384665,-86.468415
36039,condo,1,1,1,0,4,766,1,false,false,false,Destin,Okaloosa,32541,FL,30.385043,-86.468316
36043,condo,2,2,2,0,7,949,1,false,false,false,Destin,Okaloosa,32541,FL,30.385043,-86.468316
36243,condo,4,3,3,0,8,1921,3,false,false,false,Fort Walton Beach,Okaloosa,32548,FL,30.395439,-86.602198
36255,condo,3,3,3,0,6,1770,4,false,false,false,Navarre Beach,Santa Rosa,32566,FL,30.379799,-86.867722
36262,condo,4,3,3,0,10,2095,7,false,false,false,Fort Walton Beach,Okaloosa,32548,FL,30.397412,-86.629230
36276,condo,4,3,3,0,8,1957,3,false,true,false,Fort Walton Beach,Okaloosa,32548,FL,30.397628,-86.626537
36326,condo,2,2,2,0,6,1100,1,false,false,false,Pensacola Beach,Escambia,32561,FL,30.333496,-87.132318
36408,suite,2,2,2,0,6,1030,1,false,true,false,Fort Walton Beach,Okaloosa,32548,FL,30.396976,-86.620669
36451,condo,1,2,1,1,4,804,1,false,false,false,Fort Walton Beach,Okaloosa,32548,FL,30.396476,-86.611231
36502,house,2,2,2,0,10,1375,3,false,false,false,Navarre Beach,Santa Rosa,32566,FL,30.373251,-86.909811
36558,condo,2,2,2,0,6,1313,3,false,true,false,Perdido Key,Escambia,32507,FL,30.296639,-87.430893
36586,house,4,4,4,0,15,1870,3,false,false,false,Navarre Beach,Santa Rosa,32566,FL,30.373398,-86.913204
36621,condo,1,1,1,0,4,672,1,false,false,false,Navarre Beach,Santa Rosa,32566,FL,30.375482,-86.893858
36717,condo,3,3,3,0,10,1520,2,false,true,false,Fort Walton Beach,Okaloosa,32548,FL,30.395859,-86.598687
36879,condo,1,2,2,0,6,864,1,false,true,false,Fort Walton Beach,Okaloosa,32548,FL,30.395859,-86.598687
36882,condo,2,3,2,1,8,1292,1,false,true,false,Fort Walton Beach,Okaloosa,32548,FL,30.395859,-86.598687
